insert into student (first_name, last_name, gender, age, telephone, scores) values ('Slade', 'Delacroux', 'Male', 58, '9222866088', 92);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Selby', 'Boyer', 'Male', 70, '2631265424', 89);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ketty', 'Waterstone', 'Female', 80, '4021190473', 60);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Loren', 'Bolam', 'Male', 36, '0787200131', 88);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bertie', 'Chimienti', 'Female', 4, '5050538734', 55);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Marissa', 'Bushel', 'Female', 25, '0742487938', 91);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ingamar', 'Hertwell', 'Male', 51, '7986467045', 4);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Brodie', 'Springford', 'Male', 64, '4362976825', 40);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Gilberte', 'Dulanty', 'Female', 80, '6476960881', 22);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Gerhardt', 'Dewdeny', 'Male', 43, '5394460019', 27);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Noam', 'Dafter', 'Male', 73, '7102174306', 46);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Celinka', 'Dendon', 'Female', 96, '3749002371', 4);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Dorian', 'Ondrak', 'Female', 5, '8010458864', 17);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Winifield', 'Christall', 'Male', 21, '4376011010', 46);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Munroe', 'Norbury', 'Male', 77, '1733146695', 83);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Mariel', 'MacKartan', 'Female', 72, '8276674461', 98);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Germaine', 'Shooter', 'Female', 45, '1656075997', 7);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Johan', 'Hadrill', 'Male', 65, '0087101173', 47);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Granthem', 'Winsley', 'Male', 39, '7957403913', 95);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Justis', 'Epilet', 'Male', 68, '2679279670', 82);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Harald', 'Spencer', 'Male', 2, '4296094734', 71);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Daryl', 'Buckthought', 'Male', 66, '0175800278', 14);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jessi', 'Rabbitts', 'Female', 22, '4993141009', 52);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Debby', 'Lindegard', 'Female', 26, '0639581722', 41);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Meredith', 'Twyning', 'Female', 89, '4148041438', 86);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lorri', 'Dutteridge', 'Female', 71, '1603827196', 21);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Em', 'Giggie', 'Male', 100, '0476274982', 54);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jobina', 'Blewett', 'Female', 61, '4847545753', 59);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Atlante', 'Clayden', 'Female', 18, '4027284585', 73);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Zarah', 'Van Leeuwen', 'Female', 67, '1351919326', 52);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Korney', 'Fiske', 'Female', 13, '4736333715', 82);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Geneva', 'Heintz', 'Female', 60, '3570027945', 66);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Dreddy', 'Adriani', 'Female', 47, '1296589293', 75);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kelcey', 'Casero', 'Female', 81, '1956811400', 70);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Durante', 'Devinn', 'Male', 89, '2558993208', 39);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Frederica', 'Dike', 'Female', 58, '5827476935', 36);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Michele', 'Tame', 'Female', 31, '0950344419', 67);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Zachary', 'Rubury', 'Male', 57, '1120147190', 59);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Stesha', 'Pren', 'Female', 41, '2034334442', 37);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lukas', 'Lambole', 'Male', 77, '5064221703', 4);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Karlik', 'Longhorne', 'Male', 83, '4257980508', 50);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jacobo', 'Hargate', 'Male', 29, '6463272469', 28);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Nadine', 'Dibsdale', 'Female', 65, '0244175845', 63);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Verge', 'Possel', 'Male', 63, '8260727498', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Billye', 'Wanderschek', 'Female', 90, '6306651489', 27);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Irving', 'Croft', 'Male', 14, '2013092946', 44);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Gabbie', 'Cuthbert', 'Female', 41, '8904608112', 64);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Vergil', 'Baskerville', 'Male', 5, '5873061335', 37);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lil', 'Hawlgarth', 'Female', 67, '9303790847', 36);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Aldridge', 'Struss', 'Male', 6, '4381502248', 64);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Blayne', 'Tomas', 'Male', 100, '7228641329', 53);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Babbette', 'McMains', 'Female', 15, '7620265902', 18);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kellen', 'Bramont', 'Female', 28, '8817764795', 87);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hazel', 'Kennett', 'Female', 87, '7242111633', 75);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kathryn', 'Burk', 'Female', 95, '6284290209', 83);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Claude', 'Halpin', 'Female', 57, '7159891376', 54);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Joseito', 'Ramsbotham', 'Male', 62, '2174827840', 94);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Annecorinne', 'Spadari', 'Female', 20, '9715257801', 88);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Coralyn', 'Whiskin', 'Female', 18, '9961677226', 97);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Martainn', 'Atkyns', 'Male', 77, '0386364672', 63);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Reinald', 'Dobrovolny', 'Male', 56, '3983276377', 12);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Doloritas', 'Cocher', 'Female', 41, '3424781851', 85);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Lory', 'Caulder', 'Female', 71, '0210542691', 45);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Traver', 'Bozworth', 'Male', 4, '4007732450', 92);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Claudette', 'Tubb', 'Female', 90, '6270835917', 82);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hagan', 'Barbour', 'Male', 91, '1615807756', 94);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Nadia', 'Rolling', 'Female', 22, '6816889681', 43);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Wilmette', 'Saffrin', 'Female', 34, '3939842400', 27);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Benedetto', 'Nobes', 'Male', 59, '1938473027', 48);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Minda', 'Duckels', 'Female', 38, '5580956622', 26);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Janet', 'Hebburn', 'Female', 59, '7235454210', 63);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Clemmy', 'Stanman', 'Male', 55, '4326524510', 62);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Brod', 'Jeandot', 'Male', 54, '4713807346', 38);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jillie', 'Trees', 'Female', 98, '0449193837', 80);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bryanty', 'Greeding', 'Male', 99, '0066177472', 86);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Alanna', 'Connue', 'Female', 55, '0804551952', 66);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Angel', 'Echallier', 'Male', 45, '8522921830', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Charlot', 'O''Hone', 'Female', 62, '5146725462', 60);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Tremayne', 'Pheasey', 'Male', 76, '8150574263', 68);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Elyssa', 'Pursglove', 'Female', 81, '2799699901', 92);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ellsworth', 'Samsworth', 'Male', 16, '7837338855', 70);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Anstice', 'Fairbridge', 'Female', 54, '9140013286', 86);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Phyllys', 'Zanettini', 'Female', 22, '8086403718', 7);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hasty', 'Mustoo', 'Male', 22, '9990379343', 63);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Papageno', 'Brazur', 'Male', 95, '5831659569', 98);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Avrom', 'Cramond', 'Male', 68, '1715365216', 80);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Abigael', 'Frushard', 'Female', 44, '3293357466', 89);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Roanne', 'Bullcock', 'Female', 99, '7580930137', 20);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Llywellyn', 'Samples', 'Male', 60, '3207084494', 52);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Brittney', 'Satterly', 'Female', 36, '0925779342', 58);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Raoul', 'Chadderton', 'Male', 40, '1145646115', 92);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Malorie', 'Byham', 'Female', 100, '8739652068', 88);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Wainwright', 'Yeaman', 'Male', 45, '2554404623', 58);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Charlton', 'Paskin', 'Male', 16, '9106500846', 38);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Trefor', 'Whorf', 'Male', 96, '4823565665', 93);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Stephan', 'Rottcher', 'Male', 5, '4408765171', 16);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Euell', 'Bedham', 'Male', 95, '8158034691', 90);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Dacy', 'Ervine', 'Female', 48, '2045017478', 50);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Mariann', 'Lillegard', 'Female', 79, '6180339368', 83);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Tobie', 'Teasey', 'Male', 26, '0764364979', 86);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Archaimbaud', 'Waddy', 'Male', 21, '7496740535', 31);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Clemmie', 'Tarver', 'Male', 26, '8768848544', 11);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Filberte', 'Woodruffe', 'Male', 97, '8069612126', 89);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Way', 'Grayston', 'Male', 18, '7406679882', 31);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Monte', 'Arrighetti', 'Male', 49, '0530053845', 43);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Valeda', 'Otter', 'Female', 35, '5469737497', 66);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jewel', 'Costelow', 'Female', 75, '1284105172', 74);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jermayne', 'Verner', 'Male', 13, '4952566935', 85);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Gabrila', 'Fansy', 'Female', 25, '6975251614', 20);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bord', 'Karolyi', 'Male', 14, '2845273509', 94);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Garvin', 'McIlroy', 'Male', 56, '8619600451', 51);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Junia', 'Procter', 'Female', 63, '9361795538', 52);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Josefina', 'Veart', 'Female', 86, '6180295239', 76);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Adamo', 'Rosberg', 'Male', 38, '6090900737', 74);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Averell', 'Fawdery', 'Male', 62, '2950383688', 43);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ennis', 'Hoyer', 'Male', 6, '0768537452', 35);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Meier', 'Gecks', 'Male', 96, '3000230998', 97);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bee', 'Villaret', 'Female', 92, '1943365202', 48);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Colman', 'Donohue', 'Male', 98, '7712119384', 0);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Dur', 'Musslewhite', 'Male', 47, '8395702345', 32);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Rodi', 'O''Lenane', 'Female', 60, '0532966953', 85);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Constantine', 'Grigoriev', 'Male', 96, '3237706140', 71);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Jaquelin', 'Ewers', 'Female', 63, '7935612463', 70);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Rafaela', 'Maggorini', 'Female', 81, '2182761365', 43);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Farris', 'Coakley', 'Male', 5, '2566490694', 1);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Allin', 'Snary', 'Male', 41, '0705555127', 29);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hew', 'Godsmark', 'Male', 41, '8874427271', 10);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Stanislas', 'Pulteneye', 'Male', 6, '0084821507', 80);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bil', 'Ramsier', 'Male', 3, '2950313736', 53);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Anjela', 'Kemitt', 'Female', 33, '8190226339', 92);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bail', 'Lacroutz', 'Male', 100, '1490014829', 8);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Noell', 'Banasik', 'Female', 35, '0330364464', 33);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Derwin', 'Colisbe', 'Male', 21, '3397605458', 49);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Tedda', 'Bacher', 'Female', 53, '4217032358', 75);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Cooper', 'Killgus', 'Male', 51, '8483892057', 59);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Kahlil', 'Shank', 'Male', 46, '7835754533', 91);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Rawley', 'Casajuana', 'Male', 64, '5965698380', 50);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Reiko', 'Messenger', 'Female', 51, '7464568710', 14);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Konstance', 'Golledge', 'Female', 69, '2249863490', 39);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Velvet', 'Tickel', 'Female', 65, '8429375171', 59);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Wiley', 'Kirtlan', 'Male', 26, '0963506196', 44);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ynes', 'Messitt', 'Female', 34, '2341077404', 24);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Melantha', 'Guisby', 'Female', 37, '2327916550', 84);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Ambrosius', 'Fontenot', 'Male', 45, '4190656666', 69);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Hermine', 'Trotman', 'Female', 37, '7080395097', 85);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Annadiane', 'Mee', 'Female', 40, '3750195897', 89);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Thorn', 'Garvin', 'Male', 38, '9850810823', 32);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Averyl', 'Hanwright', 'Female', 53, '9967021292', 50);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Judie', 'Blake', 'Female', 93, '8529874463', 71);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Corty', 'Penn', 'Male', 12, '7447144584', 36);
insert into student (first_name, last_name, gender, age, telephone, scores) values ('Bing', 'Curror', 'Male', 18, '9915337639', 54);
